model,speed,rating,horsepower
Miles,52,48,32
Garcia,43,32,51
Powers,54,53,33
Park,32,44,29
Johnston,47,35,25
Bradley,39,35,52
Wilson,58,18,53
Summers,49,35,47
Wright,49,22,56
Dawson,46,50,61
Bennett,34,64,44
Curry,29,49,55
Lee,65,20,44
Hammond,61,44,24
Clark,43,36,36
Wilkerson,30,54,54
French,56,24,32
Jenkins,42,39,18
Armstrong,53,35,40
Santos,26,21,58
Fields,50,39,50
Brooks,24,40,43
Huff,54,32,60
Weber,59,59,47
Perez,49,22,27
McDaniel,56,47,24
Rice,25,29,45
Lopez,32,44,65
Castillo,23,54,56
Graves,38,48,27
Williams,61,54,35
Garner,37,36,62
Griffin,38,29,63
May,39,31,45
Moreno,42,46,55
Mason,31,60,41
Henderson,50,51,58
Doyle,64,41,18
Mendoza,52,23,32
Diaz,26,23,37
Manning,43,52,34
Wolfe,23,46,44
Cobb,44,41,55
Dennis,56,33,34
Ferguson,40,51,27
Austin,60,44,58
Stokes,25,47,65
Daniel,61,42,21
Gilbert,20,22,36
Robbins,34,33,38
Sharp,38,54,58
Park,25,33,23
Francis,56,62,35
Reeves,47,21,43
Sullivan,55,33,31
Schwartz,65,64,48
Underwood,37,65,56
Montgomery,65,56,39
Richardson,48,43,56
Paul,64,57,19
Burke,65,54,50
Anderson,46,29,46
Campbell,40,57,22
Hines,52,45,20
Mendoza,24,40,49
Graham,43,59,63
Huff,52,22,43
Mathis,56,22,39
Stevens,55,29,65
Richardson,25,38,50
Lyons,26,37,61
Frazier,23,23,46
Kelley,39,61,63
Jones,31,60,64
Graham,29,32,57
Mendoza,25,45,52
Lambert,24,30,29
Hardy,41,32,44
Freeman,27,31,18
Stewart,62,25,21
Lucas,43,33,41
Chavez,20,20,48
Armstrong,57,29,57
Hardy,26,42,60
Santos,46,51,18
Guerrero,51,30,20
Bryant,61,33,31
Little,61,52,31
Page,57,59,64
Padilla,47,19,40
Herrera,63,24,24
Perez,38,23,20
Fletcher,43,34,35
Barton,34,24,27
Holloway,48,32,47
Oliver,20,63,65
Brewer,22,28,36
Hughes,51,54,26
Hill,25,32,46
West,48,65,28
